82-Pb-204(n,elastic) ENDF/B-VII.1
19745.5,43.4712
19746.2,45.8102
19746.5,46.0619
19747.6,43.9979
19749.3,35.8176
19750.8,28.2116
19752.1,23.4538
19753.5,19.9296
19755.4,17.1615
19757.7,15.0792
19760.8,13.3833
19765.8,11.8454
19773.6,10.6153
19786.7,9.6392
19804.0,9.02864
19847.4,8.4119
19960.2,7.93752
20755.9,7.0435
20763.1,7.08687
20765.3,7.34685
20766.5,7.8344
20767.7,8.78704
20770.0,11.0352
20771.1,11.4536
20772.1,11.0329
20775.0,8.30238
20776.0,7.66784
20777.5,7.2557
20781.7,7.06642
21348.6,6.10235
21595.4,5.33146
21635.7,5.17932
21642.5,5.25046
21644.7,5.48604
21645.8,5.87763
21646.7,6.5585
21647.4,7.39404
21648.2,8.81542
21649.3,11.5664
21650.6,14.7714
21651.5,16.2583
21652.0,16.5354
21652.8,15.9824
21653.7,14.2929
21655.8,9.19419
21656.6,7.64595
21657.3,6.72503
21658.3,5.94946
21659.1,5.63086
21660.6,5.34212
21665.7,5.12618
21830.6,3.92602
21905.3,3.14846
21962.7,2.34505
22005.8,1.58739
22064.0,0.416473
22073.5,0.249282
22079.4,0.160749
22083.7,0.107154
22086.8,0.0760575
22089.2,0.0562913
22091.1,0.044394
22092.7,0.0368509
22093.8,0.0332859
22095.2,0.0304907
22096.3,0.0299636
22097.4,0.0308753
22098.4,0.0333134
22099.5,0.0373664
22101.0,0.0454334
22102.4,0.05674
22104.0,0.0736262
22105.8,0.0980169
22107.8,0.132371
22109.9,0.179845
22112.3,0.244589
22115.0,0.339038
22117.8,0.466022
22121.1,0.646127
22124.3,0.873304
22127.9,1.19215
22131.5,1.59563
22135.4,2.15966
22139.6,2.9172
22143.9,3.93972
22148.2,5.26609
22152.5,6.98468
22156.8,9.21079
22161.1,12.0938
22165.4,15.824
22169.7,20.6364
22174.3,27.196
22178.9,35.8185
22184.4,48.7558
22191.9,70.9281
22200.0,95.8285
22205.6,107.88
22211.5,112.597
22214.9,111.512
22222.4,102.517
22239.9,73.3059
22250.7,59.5847
22261.4,49.5945
22274.4,41.1136
22287.3,35.1492
22304.5,29.6187
22326.1,25.0144
22354.1,21.152
22385.0,18.3899
22422.3,16.1826
22479.8,14.033
22560.2,12.2462
22677.9,10.7393
22864.7,9.36984
23246.3,7.66168
23251.3,7.66056
23263.5,7.79114
23268.4,8.13697
23270.5,8.59301
23271.9,9.37267
23272.9,10.513
23273.7,12.1159
23274.3,14.2981
23275.0,17.3452
23275.8,22.0212
23276.7,29.9561
23278.3,44.8251
23279.2,50.4887
23280.0,52.4381
23280.9,50.3249
23281.9,43.5261
23283.9,25.6802
23284.7,19.9806
23285.4,16.145
23286.1,13.3493
23286.9,11.5124
23287.8,10.1288
23289.1,9.1515
23290.9,8.52633
23294.3,8.0484
23301.7,7.68819
23340.7,7.2876
23593.6,5.8648
23722.1,4.82155
23807.7,3.85243
23870.0,2.93152
23922.5,1.96978
23991.6,0.51831
24002.6,0.31596
24009.6,0.203588
24014.7,0.134596
24018.4,0.0935889
24021.3,0.0667791
24023.7,0.0489833
24025.5,0.0386264
24027.2,0.0318146
24028.7,0.0275024
24029.7,0.025929
24030.8,0.0254514
24031.9,0.0262729
24033.1,0.0285918
24034.2,0.0324836
24035.8,0.0401404
24037.2,0.0503802
24038.9,0.065517
24040.7,0.0871228
24042.7,0.117128
24045.1,0.163076
24047.8,0.227102
24050.7,0.315049
24054.0,0.439655
24057.3,0.595697
24060.9,0.813058
24065.1,1.12283
24069.5,1.53756
24073.8,2.06199
24078.7,2.80275
24083.6,3.7497
24088.4,4.95444
24093.8,6.65531
24099.1,8.8565
24104.2,11.5516
24109.3,14.9778
24115.2,20.0143
24121.1,26.5559
24127.3,35.3944
24134.4,48.2773
24154.2,92.1216
24160.3,101.973
24168.1,107.664
24169.7,107.861
24176.7,105.491
24190.7,91.5132
24211.0,69.4256
24228.1,55.9673
24245.1,46.5662
24262.1,39.9131
24286.4,33.3823
24315.6,28.2596
24344.8,24.8186
24391.5,21.2185
24449.9,18.4479
24502.3,16.8541
24505.9,17.2063
24507.6,18.2611
24511.2,22.4758
24512.0,22.7509
24513.6,21.8039
24516.3,18.2771
24517.9,17.1198
24520.6,16.5324
24589.5,15.0296
24739.1,13.2527
24971.7,11.8024
25370.7,10.5625
25874.2,9.70355
25886.0,9.86594
25887.8,10.2185
25889.3,11.0453
25890.6,12.6193
25892.2,15.7722
25893.9,19.0482
25895.0,19.9473
25895.0,19.9493
25896.0,19.3226
25897.5,16.6245
25899.4,12.9652
25900.3,11.7113
25901.8,10.5538
25903.5,10.0421
25909.0,9.76679
26889.5,8.15946
27142.0,7.30276
27268.2,6.47143
27347.1,5.57343
27394.4,4.73197
27427.6,3.89522
27453.6,3.01272
27473.7,2.14683
27493.2,1.14426
27504.9,0.529876
27509.4,0.318991
27512.2,0.207599
27514.2,0.143873
27515.6,0.103736
27516.7,0.0801596
27517.7,0.0636534
27518.5,0.0542195
27519.1,0.0495534
27519.7,0.0470135
27520.0,0.0467845
27520.6,0.048126
27521.3,0.0531822
27522.0,0.0622791
27522.7,0.0752009
27523.4,0.0943216
27524.3,0.124816
27525.2,0.164353
27526.2,0.22006
27527.3,0.297379
27528.5,0.403416
27529.8,0.553806
27531.3,0.765851
27532.7,1.02351
27534.3,1.37889
27536.0,1.88581
27537.8,2.53116
27539.8,3.44992
27541.8,4.63404
27543.7,6.15191
27545.9,8.30815
27548.1,11.1066
27550.2,14.7059
27552.6,19.7067
27555.1,26.4331
27557.9,36.2285
27562.8,57.1482
27567.1,74.9903
27570.5,84.0288
27573.0,86.4755
27575.9,85.2703
27580.4,77.8565
27590.8,56.5362
27597.8,46.1042
27604.7,38.845
27612.6,33.0245
27622.4,28.0542
27634.3,24.0696
27647.3,21.1094
27667.4,18.1105
27691.1,15.8535
27728.9,13.5161
27793.6,10.408
27814.2,8.97438
27827.1,7.55915
27834.7,6.29961
27840.5,4.9582
27844.7,3.68356
27850.1,1.73492
27851.1,1.44554
27852.0,1.29629
27852.5,1.27206
27853.0,1.31802
27853.5,1.45702
27853.9,1.63928
27854.3,1.95741
27854.8,2.42063
27855.2,3.08327
27855.7,4.00518
27856.2,5.28948
27856.7,6.94837
27857.3,9.32919
27857.9,12.4389
27858.7,17.4602
27859.6,25.1144
27862.7,55.2556
27863.9,63.7173
27864.9,66.947
27865.6,67.4677
27867.1,64.3421
27871.6,43.5836
27873.7,36.6494
27876.2,31.1656
27879.6,26.6456
27882.8,23.9122
27887.8,21.2217
27892.8,19.4301
27904.0,17.112
27917.3,15.6237
27937.6,14.3382
27978.3,13.0452
28059.7,11.8868
28119.4,11.4667
28126.5,11.6534
28128.4,12.1041
28129.7,12.914
28131.1,14.6544
28132.5,17.6709
28134.5,22.4576
28135.6,24.045
28136.0,24.1815
28137.0,23.5798
28138.2,21.1046
28140.4,15.9812
28141.6,13.8228
28143.1,12.4712
28144.3,11.9528
28147.2,11.5437
28169.3,11.187
28418.8,10.3399
28905.5,9.64663
28913.1,9.72923
28915.3,10.0805
28917.0,10.8244
28920.1,12.6139
28921.0,12.7749
28922.8,12.2387
28925.5,10.5951
28927.8,9.87135
28932.2,9.65371
28991.2,9.56854
29008.9,9.71679
29011.5,10.0487
29013.2,10.8535
29014.5,12.2133
29015.7,14.3933
29018.4,21.2814
29019.6,22.9807
29020.1,23.166
29021.0,22.4905
29022.4,19.6833
29024.4,14.6892
29025.5,12.6665
29026.3,11.6286
29027.6,10.6553
29028.9,10.1936
29032.0,9.83553
29055.6,9.56592
29614.7,9.13818
29638.8,9.30614
29642.3,9.77548
29643.9,10.5961
29644.9,11.7098
29646.0,13.475
29647.2,16.6004
29649.3,22.6958
29650.3,24.7844
29651.1,25.2312
29652.1,24.4095
29653.3,21.4791
29655.6,15.0882
29656.8,12.6095
29657.8,11.2369
29658.9,10.4343
29660.5,9.8545
29662.1,9.60486
29670.0,9.28317
29792.6,9.05764
31455.5,8.11262
31462.1,8.25903
31464.6,8.85436
31468.2,10.4235
31469.1,10.531
31470.9,10.1204
31474.4,8.66659
31476.7,8.2616
31488.0,8.11604
32075.3,7.37203
32332.9,6.65274
32478.6,5.86729
32568.2,5.03427
32628.7,4.15179
32669.0,3.30754
32698.1,2.50603
32722.5,1.67931
32753.7,0.487933
32759.6,0.291712
32763.1,0.190117
32765.7,0.130021
32767.6,0.0930028
32769.1,0.0689022
32770.2,0.0552728
32771.3,0.0458088
32772.0,0.041087
32772.9,0.0382445
32773.4,0.0377731
32774.1,0.038684
32774.8,0.0415842
32775.6,0.0481832
32776.5,0.0583209
32777.5,0.0735621
32778.5,0.0961499
32779.7,0.128499
32780.9,0.170855
32782.3,0.233686
32783.8,0.321005
32785.5,0.441041
32787.2,0.59779
32789.1,0.809519
32791.1,1.08379
32793.3,1.47784
32795.6,1.97412
32798.1,2.68107
32800.6,3.58188
32803.4,4.86681
32806.2,6.5264
32809.0,8.65484
32812.1,11.6674
32815.1,15.5027
32818.3,20.5579
32822.0,28.0376
32827.0,40.843
32835.7,64.6079
32840.6,73.2403
32845.1,75.9057
32850.9,72.9297
32869.9,50.0939
32880.1,41.1433
32891.3,34.3444
32905.3,28.6969
32922.1,24.3288
32944.5,20.6812
32966.9,18.3527
33002.8,16.01
33043.1,14.3985
33110.3,12.8215
