energy_eV,xs_barns
4.37890700E-05,4.43748000E-04
4.39062500E-05,4.43155400E-04
4.40234400E-05,4.42565200E-04
4.41406300E-05,4.41977300E-04
4.42578200E-05,4.41391800E-04
4.43750000E-05,4.40808600E-04
4.44921900E-05,4.40227700E-04
4.46093800E-05,4.39649100E-04
4.47265700E-05,4.39072800E-04
4.48437500E-05,4.38498700E-04
4.49609400E-05,4.37926900E-04
4.50781300E-05,4.37357300E-04
4.51953200E-05,4.36789900E-04
4.53125000E-05,4.36224700E-04
4.54296900E-05,4.35661700E-04
4.55468800E-05,4.35100900E-04
4.56640700E-05,4.34542300E-04
4.57812500E-05,4.33985800E-04
4.58984400E-05,4.33431400E-04
4.60156300E-05,4.32879100E-04
4.61328200E-05,4.32329000E-04
4.62500000E-05,4.31780900E-04
4.63671900E-05,4.31235000E-04
4.64843800E-05,4.30691000E-04
4.66015700E-05,4.30149200E-04
4.67187500E-05,4.29609400E-04
4.68359400E-05,4.29071600E-04
4.69531300E-05,4.28535800E-04
4.70703200E-05,4.28002000E-04
4.71875000E-05,4.27470200E-04
4.73046900E-05,4.26940400E-04
4.74218800E-05,4.26412600E-04
4.75390700E-05,4.25886700E-04
4.76562500E-05,4.25362800E-04
4.77734400E-05,4.24840700E-04
4.78906300E-05,4.24320600E-04
4.80078200E-05,4.23802400E-04
4.81250000E-05,4.23286100E-04
4.82421900E-05,4.22771700E-04
4.83593800E-05,4.22259100E-04
4.84765700E-05,4.21748400E-04
4.85937500E-05,4.21239600E-04
4.87109400E-05,4.20732600E-04
4.88281300E-05,4.20227400E-04
4.89453200E-05,4.19724100E-04
4.90625000E-05,4.19222500E-04
4.91796900E-05,4.18722800E-04
4.92968800E-05,4.18224800E-04
4.94140700E-05,4.17728500E-04
4.95312500E-05,4.17234100E-04
4.96484400E-05,4.16741400E-04
4.97656300E-05,4.16250500E-04
4.98828200E-05,4.15761200E-04
5.00000000E-05,4.15273800E-04
5.01953200E-05,4.14465000E-04
5.03906300E-05,4.13661000E-04
5.05859400E-05,4.12861700E-04
5.07812500E-05,4.12067000E-04
5.09765700E-05,4.11276800E-04
5.11718800E-05,4.10491200E-04
5.13671900E-05,4.09710100E-04
5.15625000E-05,4.08933400E-04
5.17578200E-05,4.08161100E-04
5.19531300E-05,4.07393100E-04
5.21484400E-05,4.06629500E-04
5.23437500E-05,4.05870200E-04
5.25390700E-05,4.05115100E-04
5.27343800E-05,4.04364200E-04
5.29296900E-05,4.03617400E-04
5.31250000E-05,4.02874800E-04
5.33203200E-05,4.02136300E-04
5.35156300E-05,4.01401800E-04
5.37109400E-05,4.00671300E-04
5.39062500E-05,3.99944800E-04
5.41015700E-05,3.99222200E-04
5.42968800E-05,3.98503600E-04
5.44921900E-05,3.97788800E-04
5.46875000E-05,3.97077800E-04
