energy_eV,xs_barns
1.63281300E-04,2.92277500E-03
1.64062500E-04,2.91580800E-03
1.64843800E-04,2.90889000E-03
1.65625000E-04,2.90202200E-03
1.66406300E-04,2.89520100E-03
1.67187500E-04,2.88842900E-03
1.67968800E-04,2.88170400E-03
1.68750000E-04,2.87502600E-03
1.69531300E-04,2.86839300E-03
1.70312500E-04,2.86180700E-03
1.71093800E-04,2.85526600E-03
1.71875000E-04,2.84877000E-03
1.72656300E-04,2.84231700E-03
1.73437500E-04,2.83590800E-03
1.74218800E-04,2.82954200E-03
1.75000000E-04,2.82322000E-03
1.75781300E-04,2.81693800E-03
1.76562500E-04,2.81070000E-03
1.77343800E-04,2.80450200E-03
1.78125000E-04,2.79834500E-03
1.78906300E-04,2.79222800E-03
1.79687500E-04,2.78615200E-03
1.80468800E-04,2.78011400E-03
1.81250000E-04,2.77411700E-03
1.82031300E-04,2.76815700E-03
1.82812500E-04,2.76223600E-03
1.83593800E-04,2.75635200E-03
1.84375000E-04,2.75050700E-03
1.85156300E-04,2.74469800E-03
1.85937500E-04,2.73892600E-03
1.86718800E-04,2.73318900E-03
1.87500000E-04,2.72749000E-03
1.88281300E-04,2.72182500E-03
1.89062500E-04,2.71619600E-03
1.89843800E-04,2.71060100E-03
1.90625000E-04,2.70504100E-03
1.91406300E-04,2.69951400E-03
1.92187500E-04,2.69402200E-03
1.92968800E-04,2.68856300E-03
1.93750000E-04,2.68313700E-03
1.94531300E-04,2.67774400E-03
1.95312500E-04,2.67238300E-03
1.96093800E-04,2.66705400E-03
1.96875000E-04,2.66175800E-03
1.97656300E-04,2.65649200E-03
1.98437500E-04,2.65125800E-03
1.99218800E-04,2.64605400E-03
2.00000000E-04,2.64088100E-03
2.01171900E-04,2.63317800E-03
2.02343800E-04,2.62554100E-03
2.03515700E-04,2.61797100E-03
2.04687500E-04,2.61046700E-03
2.05859400E-04,2.60302600E-03
2.07031300E-04,2.59564800E-03
2.08203200E-04,2.58833300E-03
2.09375000E-04,2.58108000E-03
2.10546900E-04,2.57388700E-03
2.11718800E-04,2.56675300E-03
2.12890700E-04,2.55967900E-03
2.14062500E-04,2.55266300E-03
2.15234400E-04,2.54570500E-03
2.16406300E-04,2.53880300E-03
2.17578200E-04,2.53195600E-03
2.18750000E-04,2.52516600E-03
2.19921900E-04,2.51842900E-03
2.21093800E-04,2.51174500E-03
2.22265700E-04,2.50511500E-03
2.23437500E-04,2.49853700E-03
2.24609400E-04,2.49201100E-03
2.25781300E-04,2.48553500E-03
2.26953200E-04,2.47911000E-03
2.28125000E-04,2.47273400E-03
2.29296900E-04,2.46640800E-03
2.30468800E-04,2.46012900E-03
2.31640700E-04,2.45389800E-03
2.32812500E-04,2.44771500E-03
2.33984400E-04,2.44157700E-03
2.35156300E-04,2.43548600E-03
2.36328200E-04,2.42944000E-03
2.37500000E-04,2.42343900E-03
2.38671900E-04,2.41748200E-03
2.39843800E-04,2.41156900E-03
2.41015700E-04,2.40569900E-03
2.42187500E-04,2.39987200E-03
