82-Pb-208(n,&gamma;) ENDF/B-VII.1
265657.0,4.74406E-5
267098.0,5.11197E-5
267818.0,5.56677E-5
268299.0,6.19573E-5
268629.0,7.01808E-5
268869.0,8.06602E-5
269049.0,9.3607E-5
269199.0,1.10668E-4
269319.0,1.31885E-4
269416.0,1.57465E-4
269488.0,1.84942E-4
269560.0,2.23948E-4
269623.0,2.73232E-4
269675.0,3.31772E-4
269720.0,4.01347E-4
269758.0,4.81074E-4
269795.0,5.90513E-4
269829.0,7.27756E-4
269858.0,8.90357E-4
269885.0,0.00109982
269910.0,0.00136604
269933.0,0.00172198
269953.0,0.00212962
269971.0,0.00264279
269987.0,0.00328154
270004.0,0.00417585
270019.0,0.00525752
270034.0,0.00669619
270052.0,0.00891497
270078.0,0.0127676
270090.0,0.0139995
270100.0,0.0143641
270112.0,0.0138979
270127.0,0.0121767
270158.0,0.00777702
270173.0,0.00601498
270189.0,0.00467313
270204.0,0.00374002
270222.0,0.00295149
270240.0,0.0023556
270260.0,0.001872
270281.0,0.00151004
270304.0,0.00121907
270328.0,9.99465E-4
270357.0,8.09232E-4
270387.0,6.63901E-4
270419.0,5.49416E-4
270460.0,4.43617E-4
270505.0,3.62186E-4
270559.0,2.93709E-4
270622.0,2.38522E-4
270694.0,1.9544E-4
270766.0,1.65452E-4
270866.0,1.37143E-4
270971.0,1.17232E-4
271091.0,1.01539E-4
271241.0,8.84548E-5
271451.0,7.71115E-5
271721.0,6.85881E-5
272142.0,6.17427E-5
272790.0,5.75472E-5
273420.0,5.64179E-5
274444.0,5.84906E-5
275154.0,6.32684E-5
275626.0,6.95426E-5
276036.0,7.91719E-5
276351.0,9.19731E-5
276572.0,1.06372E-4
276761.0,1.25127E-4
276918.0,1.48416E-4
277060.0,1.79808E-4
277171.0,2.1548E-4
277265.0,2.58704E-4
277344.0,3.08736E-4
277423.0,3.78438E-4
277494.0,4.67276E-4
277557.0,5.78743E-4
277612.0,7.15039E-4
277659.0,8.75308E-4
277706.0,0.00109527
277746.0,0.00134468
277785.0,0.00167947
277825.0,0.00213067
277864.0,0.00272956
277918.0,0.00378799
277965.0,0.00474022
277993.0,0.00509457
278012.0,0.00517428
278034.0,0.00507338
278066.0,0.00463046
278154.0,0.00283938
278195.0,0.00219504
278234.0,0.0017271
278274.0,0.00137995
